2014-11-13 10:24:26 INFO  main (StartUp.java:20) - 媒体服务器端口：30000
2014-11-13 10:34:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 10:42:43 INFO  pool-1-thread-1 (PackageProcess.java:55) - 代理服务端收到的消息=》<?xml version="1.0" encoding="UTF-8"?>
<IPCP><ChannelId>0</ChannelId><DeviceName>LocalHost-b573a100407da148</DeviceName><Time>20141113104725269</Time><Type>MediaPlay</Type><UserName>djl</UserName></IPCP>
2014-11-13 10:42:44 INFO  Thread-6 (HandleMessage.java:37) - 客户端服务器收到消息=》<?xml version="1.0" encoding="UTF-8"?>
<IPCP><Time>20141113104725269</Time><Type>Media</Type><PlayOption>1</PlayOption><DeviceName>LocalHost-b573a100407da148</DeviceName><ChannelId>0</ChannelId><UserName>djl</UserName><MediaIp>192.168.1.64</MediaIp><MediaPort>30002</MediaPort></IPCP>
2014-11-13 10:42:55 INFO  pool-1-thread-2 (PackageProcess.java:55) - 代理服务端收到的消息=》<?xml version="1.0" encoding="UTF-8"?>
<IPCP><ChannelId>0</ChannelId><DeviceName>LocalHost-b573a100407da148</DeviceName><Time>20141113104725269</Time><Type>MediaBye</Type><UserName>djl</UserName></IPCP>
2014-11-13 10:42:55 INFO  pool-1-thread-2 (PackageProcess.java:235) - 发出消息=》<?xml version="1.0" encoding="UTF-8"?>
<IPCP><ChannelId>0</ChannelId><DeviceName>LocalHost-b573a100407da148</DeviceName><Time>20141113104725269</Time><Type>MediaBye</Type><MsgNo></MsgNo><UserName>djl</UserName><Msg>MediaBye delete client</Msg><Code>2</Code></IPCP>
2014-11-13 10:42:55 INFO  Thread-4 (ReceiveServlet.java:90) - java.net.SocketException: socket closed
2014-11-13 10:44:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 10:54:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 11:04:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 11:14:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 11:24:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 11:34:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 11:44:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 11:54:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 12:04:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 12:14:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 12:24:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 12:34:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 12:44:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 12:54:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 13:04:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 13:14:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 13:24:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 13:34:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 13:44:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 13:54:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 14:04:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 14:14:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 14:24:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 14:34:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 14:44:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 14:54:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 15:04:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 15:14:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 15:24:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 15:34:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 15:44:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 15:54:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 16:04:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 16:14:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 16:24:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 16:34:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 16:44:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 16:54:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 17:04:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 17:14:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
2014-11-13 17:24:26 INFO  Timer-0 (ClearTime.java:15) - 执行定时器
